id,comment,label
1,The weather is nice today.,0
2,I need to buy some groceries.,0
3,What time does the store open?,0
4,She is reading a book.,0
5,The train arrives at 5 PM.,0
6,I have a meeting in the afternoon.,0
7,He enjoys playing football.,0
8,The cat is sleeping on the couch.,0
9,Water boils at 100 degrees Celsius.,0
10,I like to listen to music.,0
11,The weather is nice today.,0
12,I need to buy some groceries.,0
13,What time does the store open?,0
14,She is reading a book.,0
15,The train arrives at 5 PM.,0
16,I have a meeting in the afternoon.,0
17,He enjoys playing football.,0
18,The cat is sleeping on the couch.,0
19,Water boils at 100 degrees Celsius.,0
20,I like to listen to music.,0
21,The weather is nice today.,0
22,I need to buy some groceries.,0
23,What time does the store open?,0
24,She is reading a book.,0
25,The train arrives at 5 PM.,0
26,I have a meeting in the afternoon.,0
27,He enjoys playing football.,0
28,The cat is sleeping on the couch.,0
29,Water boils at 100 degrees Celsius.,0
30,I like to listen to music.,0
31,The weather is nice today.,0
32,I need to buy some groceries.,0
33,What time does the store open?,0
34,She is reading a book.,0
35,The train arrives at 5 PM.,0
36,I have a meeting in the afternoon.,0
37,He enjoys playing football.,0
38,The cat is sleeping on the couch.,0
39,Water boils at 100 degrees Celsius.,0
40,I like to listen to music.,0
41,The weather is nice today.,0
42,I need to buy some groceries.,0
43,What time does the store open?,0
44,She is reading a book.,0
45,The train arrives at 5 PM.,0
46,I have a meeting in the afternoon.,0
47,He enjoys playing football.,0
48,The cat is sleeping on the couch.,0
49,Water boils at 100 degrees Celsius.,0
50,I like to listen to music.,0
51,The weather is nice today.,0
52,I need to buy some groceries.,0
53,What time does the store open?,0
54,She is reading a book.,0
55,The train arrives at 5 PM.,0
56,I have a meeting in the afternoon.,0
57,He enjoys playing football.,0
58,The cat is sleeping on the couch.,0
59,Water boils at 100 degrees Celsius.,0
60,I like to listen to music.,0
61,The weather is nice today.,0
62,I need to buy some groceries.,0
63,What time does the store open?,0
64,She is reading a book.,0
65,The train arrives at 5 PM.,0
66,I have a meeting in the afternoon.,0
67,He enjoys playing football.,0
68,The cat is sleeping on the couch.,0
69,Water boils at 100 degrees Celsius.,0
70,I like to listen to music.,0
71,The weather is nice today.,0
72,I need to buy some groceries.,0
73,What time does the store open?,0
74,She is reading a book.,0
75,The train arrives at 5 PM.,0
76,I have a meeting in the afternoon.,0
77,He enjoys playing football.,0
78,The cat is sleeping on the couch.,0
79,Water boils at 100 degrees Celsius.,0
80,I like to listen to music.,0
81,The weather is nice today.,0
82,I need to buy some groceries.,0
83,What time does the store open?,0
84,She is reading a book.,0
85,The train arrives at 5 PM.,0
86,I have a meeting in the afternoon.,0
87,He enjoys playing football.,0
88,The cat is sleeping on the couch.,0
89,Water boils at 100 degrees Celsius.,0
90,I like to listen to music.,0
91,The weather is nice today.,0
92,I need to buy some groceries.,0
93,What time does the store open?,0
94,She is reading a book.,0
95,The train arrives at 5 PM.,0
96,I have a meeting in the afternoon.,0
97,He enjoys playing football.,0
98,The cat is sleeping on the couch.,0
99,Water boils at 100 degrees Celsius.,0
100,I like to listen to music.,0
101,The weather is nice today.,0
102,I need to buy some groceries.,0
103,What time does the store open?,0
104,She is reading a book.,0
105,The train arrives at 5 PM.,0
106,I have a meeting in the afternoon.,0
107,He enjoys playing football.,0
108,The cat is sleeping on the couch.,0
109,Water boils at 100 degrees Celsius.,0
110,I like to listen to music.,0
111,The weather is nice today.,0
112,I need to buy some groceries.,0
113,What time does the store open?,0
114,She is reading a book.,0
115,The train arrives at 5 PM.,0
116,I have a meeting in the afternoon.,0
117,He enjoys playing football.,0
118,The cat is sleeping on the couch.,0
119,Water boils at 100 degrees Celsius.,0
120,I like to listen to music.,0
121,The weather is nice today.,0
122,I need to buy some groceries.,0
123,What time does the store open?,0
124,She is reading a book.,0
125,The train arrives at 5 PM.,0
126,I have a meeting in the afternoon.,0
127,He enjoys playing football.,0
128,The cat is sleeping on the couch.,0
129,Water boils at 100 degrees Celsius.,0
130,I like to listen to music.,0
131,The weather is nice today.,0
132,I need to buy some groceries.,0
133,What time does the store open?,0
134,She is reading a book.,0
135,The train arrives at 5 PM.,0
136,I have a meeting in the afternoon.,0
137,He enjoys playing football.,0
138,The cat is sleeping on the couch.,0
139,Water boils at 100 degrees Celsius.,0
140,I like to listen to music.,0
141,The weather is nice today.,0
142,I need to buy some groceries.,0
143,What time does the store open?,0
144,She is reading a book.,0
145,The train arrives at 5 PM.,0
146,I have a meeting in the afternoon.,0
147,He enjoys playing football.,0
148,The cat is sleeping on the couch.,0
149,Water boils at 100 degrees Celsius.,0
150,I like to listen to music.,0
151,The weather is nice today.,0
152,I need to buy some groceries.,0
153,What time does the store open?,0
154,She is reading a book.,0
155,The train arrives at 5 PM.,0
156,I have a meeting in the afternoon.,0
157,He enjoys playing football.,0
158,The cat is sleeping on the couch.,0
159,Water boils at 100 degrees Celsius.,0
160,I like to listen to music.,0
161,The weather is nice today.,0
162,I need to buy some groceries.,0
163,What time does the store open?,0
164,She is reading a book.,0
165,The train arrives at 5 PM.,0
166,I have a meeting in the afternoon.,0
167,He enjoys playing football.,0
168,The cat is sleeping on the couch.,0
169,Water boils at 100 degrees Celsius.,0
170,I like to listen to music.,0
171,The weather is nice today.,0
172,I need to buy some groceries.,0
173,What time does the store open?,0
174,She is reading a book.,0
175,The train arrives at 5 PM.,0
176,I have a meeting in the afternoon.,0
177,He enjoys playing football.,0
178,The cat is sleeping on the couch.,0
179,Water boils at 100 degrees Celsius.,0
180,I like to listen to music.,0
181,The weather is nice today.,0
182,I need to buy some groceries.,0
183,What time does the store open?,0
184,She is reading a book.,0
185,The train arrives at 5 PM.,0
186,I have a meeting in the afternoon.,0
187,He enjoys playing football.,0
188,The cat is sleeping on the couch.,0
189,Water boils at 100 degrees Celsius.,0
190,I like to listen to music.,0
191,The weather is nice today.,0
192,I need to buy some groceries.,0
193,What time does the store open?,0
194,She is reading a book.,0
195,The train arrives at 5 PM.,0
196,I have a meeting in the afternoon.,0
197,He enjoys playing football.,0
198,The cat is sleeping on the couch.,0
199,Water boils at 100 degrees Celsius.,0
200,I like to listen to music.,0
201,The weather is nice today.,0
202,I need to buy some groceries.,0
203,What time does the store open?,0
204,She is reading a book.,0
205,The train arrives at 5 PM.,0
206,I have a meeting in the afternoon.,0
207,He enjoys playing football.,0
208,The cat is sleeping on the couch.,0
209,Water boils at 100 degrees Celsius.,0
210,I like to listen to music.,0
211,The weather is nice today.,0
212,I need to buy some groceries.,0
213,What time does the store open?,0
214,She is reading a book.,0
215,The train arrives at 5 PM.,0
216,I have a meeting in the afternoon.,0
217,He enjoys playing football.,0
218,The cat is sleeping on the couch.,0
219,Water boils at 100 degrees Celsius.,0
220,I like to listen to music.,0
221,The weather is nice today.,0
222,I need to buy some groceries.,0
223,What time does the store open?,0
224,She is reading a book.,0
225,The train arrives at 5 PM.,0
226,I have a meeting in the afternoon.,0
227,He enjoys playing football.,0
228,The cat is sleeping on the couch.,0
229,Water boils at 100 degrees Celsius.,0
230,I like to listen to music.,0
231,The weather is nice today.,0
232,I need to buy some groceries.,0
233,What time does the store open?,0
234,She is reading a book.,0
235,The train arrives at 5 PM.,0
236,I have a meeting in the afternoon.,0
237,He enjoys playing football.,0
238,The cat is sleeping on the couch.,0
239,Water boils at 100 degrees Celsius.,0
240,I like to listen to music.,0
241,The weather is nice today.,0
242,I need to buy some groceries.,0
243,What time does the store open?,0
244,She is reading a book.,0
245,The train arrives at 5 PM.,0
246,I have a meeting in the afternoon.,0
247,He enjoys playing football.,0
248,The cat is sleeping on the couch.,0
249,Water boils at 100 degrees Celsius.,0
250,I like to listen to music.,0
251,The weather is nice today.,0
252,I need to buy some groceries.,0
253,What time does the store open?,0
254,She is reading a book.,0
255,The train arrives at 5 PM.,0
256,I have a meeting in the afternoon.,0
257,He enjoys playing football.,0
258,The cat is sleeping on the couch.,0
259,Water boils at 100 degrees Celsius.,0
260,I like to listen to music.,0
261,The weather is nice today.,0
262,I need to buy some groceries.,0
263,What time does the store open?,0
264,She is reading a book.,0
265,The train arrives at 5 PM.,0
266,I have a meeting in the afternoon.,0
267,He enjoys playing football.,0
268,The cat is sleeping on the couch.,0
269,Water boils at 100 degrees Celsius.,0
270,I like to listen to music.,0
271,The weather is nice today.,0
272,I need to buy some groceries.,0
273,What time does the store open?,0
274,She is reading a book.,0
275,The train arrives at 5 PM.,0
276,I have a meeting in the afternoon.,0
277,He enjoys playing football.,0
278,The cat is sleeping on the couch.,0
279,Water boils at 100 degrees Celsius.,0
280,I like to listen to music.,0
281,The weather is nice today.,0
282,I need to buy some groceries.,0
283,What time does the store open?,0
284,She is reading a book.,0
285,The train arrives at 5 PM.,0
286,I have a meeting in the afternoon.,0
287,He enjoys playing football.,0
288,The cat is sleeping on the couch.,0
289,Water boils at 100 degrees Celsius.,0
290,I like to listen to music.,0
291,The weather is nice today.,0
292,I need to buy some groceries.,0
293,What time does the store open?,0
294,She is reading a book.,0
295,The train arrives at 5 PM.,0
296,I have a meeting in the afternoon.,0
297,He enjoys playing football.,0
298,The cat is sleeping on the couch.,0
299,Water boils at 100 degrees Celsius.,0
300,I like to listen to music.,0
301,The weather is nice today.,0
302,I need to buy some groceries.,0
303,What time does the store open?,0
304,She is reading a book.,0
305,The train arrives at 5 PM.,0
306,I have a meeting in the afternoon.,0
307,He enjoys playing football.,0
308,The cat is sleeping on the couch.,0
309,Water boils at 100 degrees Celsius.,0
310,I like to listen to music.,0
311,The weather is nice today.,0
312,I need to buy some groceries.,0
313,What time does the store open?,0
314,She is reading a book.,0
315,The train arrives at 5 PM.,0
316,I have a meeting in the afternoon.,0
317,He enjoys playing football.,0
318,The cat is sleeping on the couch.,0
319,Water boils at 100 degrees Celsius.,0
320,I like to listen to music.,0
321,The weather is nice today.,0
322,I need to buy some groceries.,0
323,What time does the store open?,0
324,She is reading a book.,0
325,The train arrives at 5 PM.,0
326,I have a meeting in the afternoon.,0
327,He enjoys playing football.,0
328,The cat is sleeping on the couch.,0
329,Water boils at 100 degrees Celsius.,0
330,I like to listen to music.,0
331,The weather is nice today.,0
332,I need to buy some groceries.,0
333,What time does the store open?,0
334,She is reading a book.,0
335,The train arrives at 5 PM.,0
336,I have a meeting in the afternoon.,0
337,He enjoys playing football.,0
338,The cat is sleeping on the couch.,0
339,Water boils at 100 degrees Celsius.,0
340,I like to listen to music.,0
341,The weather is nice today.,0
342,I need to buy some groceries.,0
343,What time does the store open?,0
344,She is reading a book.,0
345,The train arrives at 5 PM.,0
346,I have a meeting in the afternoon.,0
347,He enjoys playing football.,0
348,The cat is sleeping on the couch.,0
349,Water boils at 100 degrees Celsius.,0
350,I like to listen to music.,0
351,The weather is nice today.,0
352,I need to buy some groceries.,0
353,What time does the store open?,0
354,She is reading a book.,0
355,The train arrives at 5 PM.,0
356,I have a meeting in the afternoon.,0
357,He enjoys playing football.,0
358,The cat is sleeping on the couch.,0
359,Water boils at 100 degrees Celsius.,0
360,I like to listen to music.,0
361,The weather is nice today.,0
362,I need to buy some groceries.,0
363,What time does the store open?,0
364,She is reading a book.,0
365,The train arrives at 5 PM.,0
366,I have a meeting in the afternoon.,0
367,He enjoys playing football.,0
368,The cat is sleeping on the couch.,0
369,Water boils at 100 degrees Celsius.,0
370,I like to listen to music.,0
371,The weather is nice today.,0
372,I need to buy some groceries.,0
373,What time does the store open?,0
374,She is reading a book.,0
375,The train arrives at 5 PM.,0
376,I have a meeting in the afternoon.,0
377,He enjoys playing football.,0
378,The cat is sleeping on the couch.,0
379,Water boils at 100 degrees Celsius.,0
380,I like to listen to music.,0
381,The weather is nice today.,0
382,I need to buy some groceries.,0
383,What time does the store open?,0
384,She is reading a book.,0
385,The train arrives at 5 PM.,0
386,I have a meeting in the afternoon.,0
387,He enjoys playing football.,0
388,The cat is sleeping on the couch.,0
389,Water boils at 100 degrees Celsius.,0
390,I like to listen to music.,0
391,The weather is nice today.,0
392,I need to buy some groceries.,0
393,What time does the store open?,0
394,She is reading a book.,0
395,The train arrives at 5 PM.,0
396,I have a meeting in the afternoon.,0
397,He enjoys playing football.,0
398,The cat is sleeping on the couch.,0
399,Water boils at 100 degrees Celsius.,0
400,I like to listen to music.,0
401,The weather is nice today.,0
402,I need to buy some groceries.,0
403,What time does the store open?,0
404,She is reading a book.,0
405,The train arrives at 5 PM.,0
406,I have a meeting in the afternoon.,0
407,He enjoys playing football.,0
408,The cat is sleeping on the couch.,0
409,Water boils at 100 degrees Celsius.,0
410,I like to listen to music.,0
411,The weather is nice today.,0
412,I need to buy some groceries.,0
413,What time does the store open?,0
414,She is reading a book.,0
415,The train arrives at 5 PM.,0
416,I have a meeting in the afternoon.,0
417,He enjoys playing football.,0
418,The cat is sleeping on the couch.,0
419,Water boils at 100 degrees Celsius.,0
420,I like to listen to music.,0
421,The weather is nice today.,0
422,I need to buy some groceries.,0
423,What time does the store open?,0
424,She is reading a book.,0
425,The train arrives at 5 PM.,0
426,I have a meeting in the afternoon.,0
427,He enjoys playing football.,0
428,The cat is sleeping on the couch.,0
429,Water boils at 100 degrees Celsius.,0
430,I like to listen to music.,0
431,The weather is nice today.,0
432,I need to buy some groceries.,0
433,What time does the store open?,0
434,She is reading a book.,0
435,The train arrives at 5 PM.,0
436,I have a meeting in the afternoon.,0
437,He enjoys playing football.,0
438,The cat is sleeping on the couch.,0
439,Water boils at 100 degrees Celsius.,0
440,I like to listen to music.,0
441,The weather is nice today.,0
442,I need to buy some groceries.,0
443,What time does the store open?,0
444,She is reading a book.,0
445,The train arrives at 5 PM.,0
446,I have a meeting in the afternoon.,0
447,He enjoys playing football.,0
448,The cat is sleeping on the couch.,0
449,Water boils at 100 degrees Celsius.,0
450,I like to listen to music.,0
451,The weather is nice today.,0
452,I need to buy some groceries.,0
453,What time does the store open?,0
454,She is reading a book.,0
455,The train arrives at 5 PM.,0
456,I have a meeting in the afternoon.,0
457,He enjoys playing football.,0
458,The cat is sleeping on the couch.,0
459,Water boils at 100 degrees Celsius.,0
460,I like to listen to music.,0
461,The weather is nice today.,0
462,I need to buy some groceries.,0
463,What time does the store open?,0
464,She is reading a book.,0
465,The train arrives at 5 PM.,0
466,I have a meeting in the afternoon.,0
467,He enjoys playing football.,0
468,The cat is sleeping on the couch.,0
469,Water boils at 100 degrees Celsius.,0
470,I like to listen to music.,0
471,The weather is nice today.,0
472,I need to buy some groceries.,0
473,What time does the store open?,0
474,She is reading a book.,0
475,The train arrives at 5 PM.,0
476,I have a meeting in the afternoon.,0
477,He enjoys playing football.,0
478,The cat is sleeping on the couch.,0
479,Water boils at 100 degrees Celsius.,0
480,I like to listen to music.,0
481,The weather is nice today.,0
482,I need to buy some groceries.,0
483,What time does the store open?,0
484,She is reading a book.,0
485,The train arrives at 5 PM.,0
486,I have a meeting in the afternoon.,0
487,He enjoys playing football.,0
488,The cat is sleeping on the couch.,0
489,Water boils at 100 degrees Celsius.,0
490,I like to listen to music.,0
491,The weather is nice today.,0
492,I need to buy some groceries.,0
493,What time does the store open?,0
494,She is reading a book.,0
495,The train arrives at 5 PM.,0
496,I have a meeting in the afternoon.,0
497,He enjoys playing football.,0
498,The cat is sleeping on the couch.,0
499,Water boils at 100 degrees Celsius.,0
500,I like to listen to music.,0
501,The weather is nice today.,0
502,I need to buy some groceries.,0
503,What time does the store open?,0
504,She is reading a book.,0
505,The train arrives at 5 PM.,0
506,I have a meeting in the afternoon.,0
507,He enjoys playing football.,0
508,The cat is sleeping on the couch.,0
509,Water boils at 100 degrees Celsius.,0
510,I like to listen to music.,0
511,The weather is nice today.,0
512,I need to buy some groceries.,0
513,What time does the store open?,0
514,She is reading a book.,0
515,The train arrives at 5 PM.,0
516,I have a meeting in the afternoon.,0
517,He enjoys playing football.,0
518,The cat is sleeping on the couch.,0
519,Water boils at 100 degrees Celsius.,0
520,I like to listen to music.,0
521,The weather is nice today.,0
522,I need to buy some groceries.,0
